[0417/111411.550:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0417/115051.694:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0417/160918.553:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0417/160919.577:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0417/164924.772:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0417/194547.597:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0420/092847.336:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0420/111538.592:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0420/111540.313:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0420/111611.738:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0420/133604.645:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0420/133605.711:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
